record,speech,silence,noise,music
train_899,96,2.36,1.15,0
train_900,90,9.6,0,0
train_901,94,5.7,0,0
train_902,86,13.23,1.12,0
train_903,96,2.26,2.12,0
train_904,90,9.65,0,0
train_905,91,7.57,1.81,0
train_906,81,15.71,3.29,0
train_907,63,23.7,13.13,0
train_908,89,11.17,0,0
train_909,66,18.7,14.9,0
train_910,92,7.64,0.27,0
train_911,77,6.78,11.82,3.91
train_912,64,0,36.46,0
train_913,94,6.38,0,0
train_914,57,21.67,20.93,0
train_915,77,17.41,5.16,0
train_916,51,13.05,36.15,0
train_917,92,7.68,0,0
train_918,50,5.14,45.25,0
train_919,70,3.66,26.75,0
train_920,70,30.08,0,0
train_921,84,15.85,0.36,0
train_922,74,19.72,6.45,0
train_923,81,16.38,2.64,0
train_924,93,3.17,3.44,0
train_925,54,39.69,5.87,0
train_926,88,10.01,1.55,0
train_927,85,14.88,0,0
train_928,88,8.42,3.83,0
train_929,89,11.09,0,0
train_930,89,10.9,0.33,0
train_931,56,35.23,8.23,0
train_932,79,18.96,2.41,0.06
train_933,66,0.62,33.46,0
train_934,91,8.06,0.5,0
train_935,50,0,49.73,0
train_936,50,14.32,35.6,0
train_937,94,6.46,0,0
train_938,94,5.98,0.1,0
train_939,91,4.91,3.96,0
train_940,76,9.53,14.88,0
train_941,88,12.25,0,0
train_942,97,2.93,0.5,0
train_943,94,5.84,0,0
train_944,77,6.73,16.1,0
train_945,92,8.12,0,0
train_946,73,18.82,7.7,0.3
train_947,59,0,41.33,0
train_948,67,15.43,17.73,0
train_949,51,15.02,34.21,0
train_950,83,11.62,5.15,0
train_951,74,24.66,1.26,0
train_952,84,16.3,0,0
train_953,83,6.46,10.43,0
train_954,81,3.68,14.97,0
train_955,64,16.68,13.13,5.67
train_956,69,14.45,16.15,0
train_957,97,2.81,0,0
train_958,89,3.2,8.25,0
train_959,85,14.34,0.57,0
train_960,86,8.94,5.03,0
train_961,80,15.27,4.93,0
train_962,48,13.8,31.98,6.33
train_963,75,19.78,5.09,0
train_964,48,24.89,25.37,1.74
train_965,56,19.13,24.52,0
train_966,86,10.74,2.9,0
train_967,75,20.62,4.81,0
train_968,64,6.14,30.01,0
train_969,79,17.67,3.32,0
train_970,78,16.82,5.66,0
train_971,85,15.19,0,0
train_972,41,23.19,35.95,0
train_973,68,22.01,10.03,0
train_974,97,2.7,0,0
train_975,62,12.79,25.09,0
train_976,61,11.08,27.7,0
train_977,96,2.96,0,1.3
train_978,73,19.62,7.4,0
train_979,82,15.01,3.01,0
train_980,78,5.06,17.2,0
train_981,91,9.29,0,0
train_982,85,15.37,0,0
train_983,96,3.13,0.76,0
train_984,69,8.55,22.26,0
train_985,33,0.39,66.5,0
train_986,86,11.18,3.28,0
train_987,91,8.9,0,0
train_988,95,5.3,0,0
train_989,94,6.18,0.27,0
train_990,89,10.86,0,0
train_991,94,6.26,0,0
train_992,84,12.67,3.21,0
train_993,79,20.47,0,0
train_994,57,36.09,6.71,0
train_995,89,11.1,0,0
train_996,67,17.53,15.05,0
train_997,55,7.38,25.9,11.22
train_998,68,21.04,6.38,4.53
train_999,62,14.44,23.86,0
train_1000,74,2.51,22.99,0
train_1001,75,18.39,6.44,0
train_1002,47,14.96,37.13,1.06
train_1003,85,14.79,0,0
train_1004,92,6.19,1.51,0
train_1005,57,13.96,28.64,0
train_1006,78,22.15,0,0
train_1007,84,14.59,0.98,0
train_1008,90,10.49,0,0
train_1009,58,29.94,12.51,0
train_1010,40,8.36,52.08,0
train_1011,89,11.45,0,0
train_1012,92,8.09,0,0
train_1013,96,3.87,0,0
train_1014,74,13.9,12.33,0
train_1015,61,4.18,32.99,2.26
train_1016,60,14.72,24.96,0
train_1017,87,6.39,6.99,0
train_1018,73,17.83,8.87,0.04
train_1019,89,8.02,3.03,0
train_1020,79,0.87,20.11,0
train_1021,86,11,3.21,0
train_1022,87,12.53,0,0
train_1023,44,11.47,44.44,0
train_1024,49,0,51.29,0
train_1025,87,13.18,0,0
train_1026,58,17.96,10.88,13.54
train_1027,83,15.22,1.43,0
train_1028,73,9.16,17.52,0
train_1029,88,10.96,1.33,0
train_1030,40,0,59.79,0
train_1031,58,10.03,32.13,0
train_1032,44,11.61,41.88,2.6
train_1033,56,0,44.32,0
train_1034,86,13.86,0,0
train_1035,28,0,71.56,0
train_1036,65,4.05,31.11,0
train_1037,88,12.42,0,0
train_1038,66,7.45,26.6,0
train_1039,92,5.97,1.57,0
train_1040,43,5.86,35.01,15.7
train_1041,83,9.91,6.76,0
train_1042,89,10.03,0.97,0
train_1043,89,10,0.61,0
train_1044,96,3.98,0,0
train_1045,26,24.76,49.44,0
train_1046,43,6.99,34.19,15.76
train_1047,88,8.81,2.96,0
train_1048,84,10.31,5.25,0
train_1049,95,3.26,2.21,0
train_1050,90,9.49,0.12,0
train_1051,72,13.12,15.13,0
train_1052,77,9.32,13.38,0
train_1053,87,12.77,0,0
train_1054,61,3.09,35.79,0
train_1055,31,21.94,47.06,0
train_1056,88,12.3,0,0
train_1057,21,13.46,65.78,0
train_1058,85,13.55,1.36,0
train_1059,87,7.78,5.56,0
train_1060,17,15.44,67.15,0
train_1061,90,10.3,0.17,0
train_1062,25,21.52,53.66,0
train_1063,94,6.16,0,0
train_1064,30,24.62,45.06,0
train_1065,86,4.52,9.85,0
train_1066,50,4.98,45.3,0
train_1067,73,22.17,4.54,0
train_1068,87,12.67,0,0
train_1069,63,14.76,22.22,0
train_1070,91,9.09,0,0
train_1071,86,13.66,0,0
train_1072,20,7.36,44.24,28.01
train_1073,79,11.98,9.35,0
train_1074,88,10.22,2,0
train_1075,65,0,35.05,0
train_1076,62,3.78,34.42,0
train_1077,60,0,39.7,0
train_1078,83,16.73,0.59,0
train_1079,21,1.6,46.9,30.4
train_1080,76,4.59,19.59,0
train_1081,60,27.38,12.17,0
train_1082,88,11,0.87,0
train_1083,67,14.93,15.09,2.58
train_1084,59,8.6,32.1,0
train_1085,84,15.83,0,0
train_1086,54,10.94,34.82,0
train_1087,88,10.26,1.29,0
train_1088,78,18.11,4.32,0
train_1089,85,13.62,1.35,0
train_1090,83,17.25,0,0
train_1091,37,5.57,56.22,1.44
train_1092,86,14.48,0,0
train_1093,80,9.34,10.67,0
train_1094,81,16.76,1.98,0
train_1095,97,3.14,0,0
train_1096,94,6.17,0,0
train_1097,43,0,56.95,0
train_1098,78,19.56,2.47,0
train_1099,84,10.74,4.95,0
train_1100,63,12.94,23.65,0
train_1101,61,19.2,19.6,0
train_1102,85,12.14,2.51,0
train_1103,7,0.36,2.7,90.05
train_1104,78,15.42,6.84,0
train_1105,96,1.15,2.33,0
train_1106,84,16.1,0,0
train_1107,38,0,62.45,0
train_1108,37,15.23,36.27,11.32
train_1109,62,5.85,32.58,0
train_1110,81,11.43,7.46,0
train_1111,81,14.94,3.94,0
train_1112,95,4.88,0,0
train_1113,82,17.32,0.32,0
train_1114,79,18.33,2.34,0
train_1115,77,5.42,12.84,4.79
train_1116,79,18.54,2.05,0
train_1117,56,30.69,12.8,0
train_1118,79,15.61,5.23,0
train_1119,33,15.18,51.96,0
train_1120,71,22.51,6.35,0
train_1121,87,4.54,8.19,0
train_1122,83,16.78,0,0
train_1123,92,7.73,0,0
train_1124,75,9.94,12.23,2.66
train_1125,86,9.68,3.96,0
train_1126,90,10.41,0,0
train_1127,89,10.09,0.85,0
train_1128,87,10.98,1.83,0
train_1129,88,11.86,0,0
train_1130,89,10.09,1.3,0
train_1131,63,19.31,17.62,0
train_1132,96,3.33,0.46,0
train_1133,94,5.85,0.5,0
train_1134,44,4.45,51.23,0
train_1135,90,7.18,3.3,0
train_1136,90,9.72,0,0
train_1137,90,8.9,0.61,0
train_1138,86,8.06,5.52,0
train_1139,58,28.55,13.33,0
train_1140,80,8.45,11.64,0
train_1141,28,4.54,60.41,6.8
train_1142,91,9.05,0,0
train_1143,90,5.32,4.26,0
train_1144,79,16.94,4.01,0
train_1145,84,16.11,0.19,0
train_1146,71,27.66,1.2,0
train_1147,88,11.76,0.28,0
train_1148,84,14.72,1.49,0
train_1149,62,0,37.83,0
train_1150,0,26.42,73.55,0
train_1151,0,62.57,37.39,0
train_1152,84,8.02,7.61,0
train_1153,88,11.55,0.38,0
train_1154,88,11.1,0.77,0
train_1155,93,7.44,0,0
train_1156,65,16.83,18.14,0
train_1157,91,9.02,0.13,0
train_1158,59,23.75,16.95,0
train_1159,89,5.68,4.98,0
train_1160,90,10.19,0,0
train_1161,65,14.09,20.37,0
train_1162,17,23.88,58.49,0.61
train_1163,84,14.29,1.52,0
train_1164,87,12.59,0,0
train_1165,83,15.65,1.02,0
train_1166,75,15.78,9.17,0
train_1167,97,2.65,0.54,0
train_1168,90,7.44,2.41,0
train_1169,88,9.31,3.06,0
train_1170,91,7.25,1.92,0
train_1171,86,13.93,0,0
train_1172,89,10.67,0,0
train_1173,83,6.56,10.56,0
train_1174,87,12.73,0,0
train_1175,79,18.15,2.53,0
train_1176,14,9.04,77.3,0
train_1177,0,0,90.25,9.66
train_1178,86,2.95,10.72,0
train_1179,77,7.98,14.77,0
train_1180,77,21.02,1.77,0
train_1181,63,32.53,4.06,0
train_1182,4,5.49,85.53,5.03
train_1183,56,9.21,34.74,0
train_1184,88,7.87,4.6,0
train_1185,90,9.5,0,0
train_1186,89,10.85,0,0
train_1187,93,0,7.06,0
train_1188,82,17.71,0.47,0
train_1189,96,2.53,1.31,0
train_1190,35,18.67,45.96,0
train_1191,62,28.73,9.39,0
train_1192,82,13.68,4.37,0
train_1193,59,27.61,12.97,0
train_1194,76,24.35,0,0
train_1195,62,21.31,16.43,0
train_1196,39,1.73,0,59.12
train_1197,0,52.96,47,0
train_1198,83,2.81,14.58,0
train_1199,93,6.67,0,0
train_1200,90,9.94,0,0
train_1201,79,18.95,2.47,0
train_1202,89,10.56,0,0
train_1203,89,11.32,0,0
train_1204,84,2.57,13.07,0
train_1205,86,2.68,11.04,0
train_1206,39,0,22.24,38.76
train_1207,63,18.61,18.42,0
train_1208,85,15.34,0,0
train_1209,28,17.82,53.83,0
train_1210,74,10.35,15.95,0
train_1211,92,5.46,2.18,0
train_1212,80,16.03,3.87,0
train_1213,89,9.23,1.6,0
train_1214,73,17.84,0,9.43
train_1215,92,6.88,0.73,0
train_1216,94,5.55,0.51,0
train_1217,54,21.7,24.72,0
train_1218,95,4.71,0,0
train_1219,85,0,14.55,0
train_1220,81,13.74,5.58,0
train_1221,20,7.49,39.32,33.18
train_1222,86,10.65,3.55,0
train_1223,93,6.87,0.48,0
train_1224,15,6.8,65.87,12.62
train_1225,64,6.75,16.51,12.84
train_1226,79,20.61,0,0
train_1227,76,6.69,16.98,0
train_1228,20,7.2,49.95,22.86
train_1229,92,7.59,0,0
train_1230,79,19.5,1.38,0
train_1231,56,4.83,38.71,0
train_1232,82,17.55,0.23,0
train_1233,90,9.73,0,0
train_1234,72,28.13,0,0
train_1235,83,12.75,4.1,0
train_1236,54,9.33,36.84,0
train_1237,97,3.42,0,0
train_1238,28,3.31,64.13,4.89
train_1239,95,5.22,0,0
train_1240,75,16.6,8.81,0
train_1241,87,13.2,0,0
train_1242,49,31.08,20.25,0
train_1243,75,18.21,6.8,0
train_1244,95,4.63,0,0
train_1245,20,5.25,50.86,23.44
train_1246,90,10.02,0,0
train_1247,71,10.77,18.29,0
train_1248,85,12.89,2.13,0
train_1249,92,7.43,1.05,0
train_1250,23,7.04,50.22,20.09
train_1251,59,29.59,11.01,0
train_1252,79,20.47,0.11,0
train_1253,88,0,12.36,0
train_1254,86,13.16,0.53,0
train_1255,92,7.5,0,0
train_1256,85,14.1,0.68,0
train_1257,89,10.28,0.99,0
train_1258,86,13.58,0,0
train_1259,58,23.55,18.89,0
train_1260,88,11.53,0,0
train_1261,97,2.55,0,0
train_1262,77,1.71,20.77,0
train_1263,64,13.62,21.04,1.1
train_1264,83,15.06,1.46,0
train_1265,89,7.18,4.01,0
train_1266,92,8.01,0,0
train_1267,88,11.34,1.13,0
train_1268,91,9.38,0,0
train_1269,74,25.59,0.52,0
train_1270,21,13.2,65.83,0
train_1271,79,20.2,0.86,0
train_1272,82,18.25,0,0
train_1273,36,12.16,52.12,0
train_1274,79,11.72,9.59,0
train_1275,81,18.52,0,0
train_1276,67,17.99,14.77,0
train_1277,82,18.19,0,0
train_1278,87,13.26,0,0
train_1279,96,3.17,1.21,0
train_1280,74,12.25,13.4,0
train_1281,77,23.17,0,0
train_1282,80,18.83,0.89,0
train_1283,65,26.09,9.3,0
train_1284,78,7.93,14.16,0
train_1285,76,22.5,1.19,0
train_1286,70,21,9.1,0
train_1287,88,11.26,0.56,0.06
train_1288,41,7.22,52.1,0
train_1289,37,26.27,37.08,0
train_1290,94,5.63,0,0
train_1291,63,8.87,20.34,7.67
train_1292,92,6.95,0.95,0
train_1293,92,8.09,0,0
train_1294,84,15.41,0.39,0
train_1295,58,0,42.28,0
train_1296,92,8.17,0,0
train_1297,85,1.24,13.94,0
train_1298,85,13.33,1.2,0
train_1299,82,15.45,2.6,0
train_1300,93,7.19,0,0
train_1301,94,5.8,0,0
train_1302,96,4.36,0,0
train_1303,91,8.97,0,0
train_1304,93,7.18,0.28,0
train_1305,83,15.84,1.14,0
train_1306,78,2.31,20.07,0
train_1307,93,2.44,4.43,0
train_1308,92,8.06,0,0
train_1309,82,15.21,3.24,0
train_1310,75,23.55,1.2,0
train_1311,50,0,50.4,0
train_1312,85,14.78,0,0
train_1313,86,14.34,0,0
train_1314,89,11.35,0,0
train_1315,87,12.47,0,0
train_1316,94,1.35,4.1,0
train_1317,80,20.28,0,0
train_1318,86,13.19,1.05,0
train_1319,61,39.25,0,0
train_1320,93,7.32,0,0
train_1321,78,22.24,0,0
train_1322,56,20.93,15.08,7.63
train_1323,47,8.63,44.45,0
train_1324,86,13.96,0.42,0
train_1325,76,8.23,0.25,15.02
train_1326,85,12.39,3.04,0
train_1327,83,15.4,1.22,0
train_1328,91,8.5,0,0
train_1329,87,13,0.07,0
train_1330,77,22.75,0,0
train_1331,91,8.17,0.65,0
train_1332,76,24.05,0.42,0
train_1333,71,8.3,20.77,0
train_1334,61,20.55,18.92,0
train_1335,81,15.7,2.79,0
train_1336,77,17.45,5.19,0
train_1337,93,6.86,0,0
train_1338,90,9.75,0,0
train_1339,80,0.42,19.95,0
train_1340,90,10.09,0,0
train_1341,89,11.12,0,0
train_1342,83,15.23,2.17,0
train_1343,92,8.09,0,0
train_1344,82,13.77,4.35,0
train_1345,77,18.71,3.91,0
train_1346,78,13.1,8.65,0
train_1347,76,24.21,0,0
train_1348,95,4.84,0.4,0
train_1349,84,15.81,0.41,0
train_1350,89,10.05,0.82,0
train_1351,80,20.43,0,0
train_1352,90,7.51,2.52,0
train_1353,79,5.51,15.19,0
train_1354,84,13.46,2.5,0
train_1355,94,6.4,0,0
train_1356,94,6.1,0,0
train_1357,93,6.85,0,0
train_1358,80,16.38,3.62,0
train_1359,76,20.45,3.47,0
train_1360,80,19.48,0.94,0
train_1361,94,5.59,0.53,0
train_1362,46,39.08,14.7,0
train_1363,90,9.84,0.51,0
train_1364,84,10.35,5.72,0
train_1365,66,1.09,32.52,0
train_1366,70,8.47,20.54,0.48
train_1367,57,2.26,40.64,0
train_1368,79,14.32,6.1,0
train_1369,95,5.06,0,0
train_1370,79,18.61,2.18,0
train_1371,86,13.6,0.52,0
train_1372,71,16.2,12.4,0
train_1373,83,10.97,5.74,0
train_1374,87,8.85,3.63,0
train_1375,97,2.64,0,0
train_1376,66,12.26,5.8,15.44
train_1377,96,3.83,0,0
train_1378,86,13.56,0,0
train_1379,91,9.28,0,0
train_1380,49,10.79,39.83,0
train_1381,88,10.84,0.98,0
train_1382,89,9.8,1.06,0
train_1383,73,11.91,8.92,6.12
train_1384,72,19.43,8.93,0
train_1385,82,17.21,1.26,0
train_1386,79,15.51,4.99,0
train_1387,89,10.64,0,0
train_1388,89,10.72,0,0
train_1389,83,16.11,0,0.65
train_1390,90,9.16,0.81,0
train_1391,85,6.56,8.82,0
train_1392,80,16.97,3.25,0
train_1393,90,0,9.82,0
train_1394,87,12.16,0.38,0
train_1395,74,12.95,12.71,0
train_1396,68,25.42,6.54,0
train_1397,67,17.63,15.5,0
train_1398,75,23.53,1.02,0
train_1399,76,7.35,16.98,0
train_1400,84,8.95,7.03,0
train_1401,48,31.94,20.47,0
train_1402,89,9.48,1.2,0
train_1403,72,16.04,12.35,0
train_1404,77,12.35,11.12,0
train_1405,38,28.2,33.22,0.75
train_1406,73,19.45,7.93,0
train_1407,43,0,57.36,0
train_1408,90,9.67,0,0
train_1409,94,5.21,0.62,0
train_1410,75,1.81,23.11,0
train_1411,64,6.88,29.52,0
train_1412,94,4.9,0.91,0
train_1413,89,9.78,1.29,0
train_1414,73,26.62,0.51,0
train_1415,86,13.96,0.39,0
train_1416,45,10.22,3.5,40.77
train_1417,84,12.7,2.85,0.56
train_1418,74,12.25,13.84,0
train_1419,91,2.65,6.21,0
train_1420,92,7.7,0,0
train_1421,67,23.32,8.81,0.88
train_1422,77,22.54,0,0
train_1423,50,11.42,38.68,0
train_1424,59,32.65,8.08,0
train_1425,88,11.54,0,0
train_1426,92,2.82,5.29,0
train_1427,65,17.2,17.56,0
train_1428,88,12.05,0,0
train_1429,75,18.45,6.91,0
train_1430,82,17.72,0,0
train_1431,94,2.87,2.98,0
train_1432,78,21.5,0,0
train_1433,93,5.75,1.67,0
train_1434,95,5.31,0,0
train_1435,80,11.48,8.61,0
train_1436,93,6.51,0.18,0
train_1437,13,7.82,50.08,29.28
train_1438,88,4.69,7.21,0
train_1439,89,9.73,1.37,0
train_1440,85,10.35,4.81,0
train_1441,83,16.92,0,0
train_1442,96,3.77,0,0
train_1443,91,9.1,0,0
train_1444,54,22.77,22.96,0
train_1445,71,20.21,9.22,0
train_1446,62,8.78,29.47,0
train_1447,89,10.66,0,0
train_1448,79,20.24,0.95,0
train_1449,89,11.05,0.22,0
train_1450,90,8.12,1.48,0
train_1451,71,22.18,6.91,0
train_1452,55,3.16,41.47,0
train_1453,57,9.21,34.05,0
train_1454,92,3.08,4.58,0
train_1455,83,16.65,0.44,0
train_1456,87,12.67,0,0
train_1457,67,12.97,19.87,0
train_1458,97,3.06,0,0
train_1459,84,14.43,1.43,0
train_1460,92,7.35,1.15,0
train_1461,89,10.83,0,0
train_1462,81,16.52,2.87,0
train_1463,86,13.02,1.4,0
train_1464,49,18.84,32.12,0
train_1465,87,12.6,0,0
train_1466,61,7.49,31.58,0
train_1467,88,12.4,0,0
train_1468,89,11.12,0,0
train_1469,94,6.02,0,0
train_1470,85,6.79,8.44,0
train_1471,96,3.83,0,0
train_1472,27,17.9,54.76,0
train_1473,74,21.13,3.44,1.6
train_1474,87,7.28,5.95,0
train_1475,86,13.89,0.22,0
train_1476,0,0,99.95,0
train_1477,12,2,49.47,36.25
train_1478,97,3.24,0,0
train_1479,89,10.91,0.38,0
train_1480,90,9.59,0,0
train_1481,94,5.52,0,0
train_1482,97,1.71,1.26,0
train_1483,68,16.53,4.41,11.34
train_1484,59,28.26,13.09,0
train_1485,24,7.45,46.56,22.2
train_1486,78,22.43,0,0
train_1487,59,26.17,15.08,0
train_1488,89,9.28,1.92,0
train_1489,60,6.95,33.31,0
train_1490,68,5.23,1.02,25.44
train_1491,49,0,50.46,0
train_1492,75,24.05,0.88,0
train_1493,61,5.48,26.41,6.73
train_1494,84,15.02,0.96,0
train_1495,70,16.45,13.19,0
train_1496,84,16,0,0
train_1497,0,62.39,37.58,0
train_1498,90,9.63,0,0
train_1499,40,5.98,53.53,0
train_1500,74,25.88,0.36,0
train_1501,82,14.41,1.45,1.62
train_1502,95,5.22,0.16,0
train_1503,83,15.52,1.05,0
train_1504,65,4.39,30.73,0
train_1505,46,4.17,49.7,0
train_1506,87,9.64,0,3.77
train_1507,78,21.3,1.05,0
train_1508,80,19.97,0,0
train_1509,63,6.18,30.67,0
train_1510,72,11.25,17.17,0
train_1511,60,0.53,39.34,0
train_1512,94,5.46,0.74,0
train_1513,76,8.55,15.31,0
train_1514,85,9.47,3.21,2.31
train_1515,67,12.48,20.87,0
train_1516,95,5.41,0,0
train_1517,72,27.86,0,0
train_1518,68,7.83,23.97,0
train_1519,90,7.68,2.27,0
train_1520,72,27.56,0.61,0
train_1521,8,29.42,62.06,0
train_1522,55,41.79,0.81,2.57
train_1523,53,3.44,43.37,0
train_1524,26,8.71,65.51,0
train_1525,74,1,25.17,0
train_1526,80,20.43,0,0
train_1527,89,10.52,0.76,0
train_1528,89,5.92,4.84,0
train_1529,88,12.25,0.13,0
train_1530,56,0,43.97,0
train_1531,75,10,14.63,0
train_1532,68,8.97,23.36,0
train_1533,68,26.17,6.15,0
train_1534,85,12.17,2.87,0
train_1535,95,4.63,0.3,0
train_1536,88,11.44,0.84,0
train_1537,77,18.83,3.97,0
train_1538,94,6.41,0,0
train_1539,60,13.35,26.38,0
train_1540,96,4.14,0,0
train_1541,83,16.45,0,0
train_1542,82,14.95,2.83,0
train_1543,0,35.05,64.92,0
train_1544,61,6.87,32.03,0
train_1545,58,0,42.23,0
train_1546,84,10.58,5.19,0
train_1547,93,6.5,0,0
train_1548,7,4.71,88.61,0
train_1549,81,12.53,6.65,0
train_1550,91,1.11,7.98,0
train_1551,4,24.46,71.29,0
train_1552,93,6.89,0,0
train_1553,0,0,99.97,0
train_1554,59,5.3,35.32,0
train_1555,90,0,10.06,0
train_1556,56,24.04,14.97,4.54
train_1557,60,24.13,15.89,0
train_1558,96,4.23,0,0
train_1559,90,9.22,0.52,0
train_1560,67,24.95,8.38,0
train_1561,90,7.78,2.66,0
train_1562,83,15.25,2.08,0
train_1563,12,1.17,56.38,30.77
train_1564,88,11.53,0.61,0
train_1565,14,3.57,82.72,0
train_1566,82,7.71,10.46,0
train_1567,71,3.94,25.22,0
train_1568,78,16.15,6.23,0
train_1569,9,1.09,90.18,0
train_1570,65,31.37,3.81,0
train_1571,11,38.62,50.54,0
train_1572,86,13.51,0,0
train_1573,74,7.3,5.73,12.88
train_1574,24,9.25,66.95,0
train_1575,43,9.21,48.01,0
train_1576,32,29.1,39.16,0
train_1577,94,3.47,2.86,0
train_1578,55,18.03,26.76,0
train_1579,77,22.82,0,0
train_1580,57,37.36,6.04,0
train_1581,37,12.18,50.68,0
train_1582,86,13.66,0,0
train_1583,52,12.72,35.06,0
train_1584,41,23.22,35.73,0
train_1585,49,28.86,21.82,0
train_1586,79,11.37,9.86,0
train_1587,91,8.54,0,0
train_1588,73,21.47,5.46,0
train_1589,59,14.66,24.16,1.69
train_1590,61,1.05,38.03,0
train_1591,65,15.86,18.92,0
train_1592,86,13.19,0.77,0
train_1593,55,32.34,12.94,0
train_1594,69,9.54,21.9,0
train_1595,77,13.38,9.29,0
train_1596,66,17.94,15.87,0
train_1597,82,16.32,1.25,0
train_1598,28,3.99,62.97,5.42
train_1599,88,6.91,5.19,0
train_1600,60,30.19,9.52,0
train_1601,41,33.64,6.35,19.37
train_1602,70,16.09,13.97,0
train_1603,70,13.87,15.76,0
train_1604,96,1.51,2.8,0
train_1605,26,40.64,33.51,0
train_1606,90,7.83,2.15,0
train_1607,83,15.63,0.95,0
train_1608,0,56.62,43.33,0
train_1609,2,51.16,46.44,0
train_1610,83,17.42,0,0
train_1611,61,9.51,29.67,0
train_1612,37,21.25,38.97,2.94
train_1613,74,10.75,14.81,0
train_1614,80,18.66,1.29,0
train_1615,87,13.33,0,0
train_1616,80,2.2,17.72,0
train_1617,83,15.16,1.85,0
train_1618,60,20.52,6.53,12.49
train_1619,88,4.21,7.38,0
train_1620,50,0,49.82,0
train_1621,96,3.97,0,0
train_1622,86,13.3,0.37,0
train_1623,0,0,99.89,0
train_1624,66,0.31,29.14,4.77
train_1625,76,24.12,0,0
train_1626,90,10.29,0,0
train_1627,86,12.83,1.29,0
train_1628,72,7.55,20.54,0
train_1629,73,9.02,17.63,0
train_1630,82,16.34,1.85,0
train_1631,97,1.01,2.06,0
train_1632,59,11.33,29.96,0
train_1633,77,11.46,11.81,0
train_1634,59,28.19,12.32,0
train_1635,92,3.64,3.88,0
train_1636,79,20.68,0,0
train_1637,92,8.35,0,0
train_1638,83,17.38,0,0
train_1639,70,25.44,4.81,0
train_1640,69,13.8,17.47,0
train_1641,76,10.92,12.97,0
train_1642,78,21.43,0.73,0
train_1643,84,15.21,0.94,0
train_1644,95,5.32,0,0
train_1645,88,11.55,0,0
train_1646,71,24.02,4.55,0
train_1647,88,8.33,3.72,0
train_1648,88,11.87,0.54,0
train_1649,83,16.75,0,0
train_1650,97,3.17,0,0
train_1651,80,14.51,5.72,0
train_1652,89,10.95,0,0
train_1653,68,27.84,4.25,0
train_1654,87,12.41,0.41,0
train_1655,67,22.67,10.26,0
train_1656,83,17.16,0,0
train_1657,86,14.13,0,0
train_1658,98,1.66,0,0
train_1659,64,14.97,20.68,0
train_1660,87,5.61,7.37,0
train_1661,63,8.8,28.53,0
train_1662,88,5.24,7,0
train_1663,92,7.78,0,0
train_1664,92,8.1,0.11,0
train_1665,47,1.84,15.44,35.39
train_1666,74,10.35,16.13,0
train_1667,90,8.11,1.41,0
train_1668,49,14.71,33.57,2.39
train_1669,87,10.15,2.58,0
train_1670,86,13.02,0.97,0
train_1671,96,4.45,0,0
train_1672,92,7.73,0,0
train_1673,62,9.37,22.4,6.22
train_1674,48,0,52.06,0
train_1675,84,5.79,10.17,0
train_1676,87,10,2.88,0
train_1677,92,7.27,0.96,0
train_1678,73,5.55,21.04,0
train_1679,54,45.57,0,0
train_1680,75,24.16,0.64,0
train_1681,79,2.58,9.36,8.66
train_1682,86,13.82,0,0
train_1683,87,12.68,0,0
train_1684,84,11.83,4.33,0
train_1685,33,19.83,36,11.01
train_1686,62,14.18,24.27,0
train_1687,69,3.2,28.23,0
train_1688,80,10.23,9.81,0
train_1689,97,2.14,0.91,0
train_1690,85,15.09,0,0
train_1691,91,8.78,0,0
train_1692,77,15.3,7.92,0
train_1693,92,7.8,0,0
train_1694,85,7.48,7.11,0
train_1695,87,13.27,0,0
train_1696,78,15.31,5.59,0.72
train_1697,18,3.75,78.62,0
train_1698,76,20.18,3.76,0
train_1699,46,0.98,45.97,7.17
train_1700,85,5.93,9.33,0
train_1701,91,8.8,0.51,0
train_1702,68,17.58,14.73,0
train_1703,75,6.43,18.38,0
train_1704,91,9.28,0,0
train_1705,49,27.55,13.62,9.9
train_1706,95,4.5,0.76,0
train_1707,63,14.69,21.86,0
train_1708,88,12.05,0,0
train_1709,66,15.87,10.9,7.02
train_1710,94,3.77,2.34,0
train_1711,86,12.83,0.7,0
train_1712,90,5.87,2.62,1.3
train_1713,96,4.04,0,0
train_1714,89,10.85,0,0
train_1715,56,24.45,18.36,0.83
train_1716,60,24.9,15.48,0
train_1717,58,3.87,38.57,0
train_1718,83,16.54,0,0
train_1719,83,16.71,0,0
train_1720,69,10.81,20.29,0
train_1721,66,5.24,28.44,0
train_1722,82,11.03,6.87,0
train_1723,70,8.43,21.55,0
train_1724,81,17.58,1.26,0
train_1725,88,10.4,1.24,0
train_1726,74,19.5,6.09,0
train_1727,81,19.04,0,0
train_1728,42,19.16,39.05,0
train_1729,89,11.37,0,0
train_1730,46,1.28,52.5,0
train_1731,74,6.75,2.68,16.38
train_1732,87,10.05,2.8,0.29
train_1733,91,9.15,0.34,0
train_1734,88,11.49,0.66,0
train_1735,95,4.89,0,0
train_1736,62,4.24,34.11,0
train_1737,56,14.23,22.27,7.48
train_1738,92,0.67,7.63,0
train_1739,76,23.07,1.38,0
train_1740,35,7.14,57.94,0
train_1741,58,11.08,31.25,0
train_1742,84,15.81,0,0
train_1743,91,8.94,0,0
train_1744,89,11.37,0,0
train_1745,82,17.78,0,0
train_1746,94,5.84,0,0
